condition,size,time
noad,100,0.000566442
noad,100,0.000074617
noad,100,0.000027066
noad,100,0.000024757
noad,100,0.000022619
noad,100,0.000024511
noad,100,0.000024453
noad,100,0.000024472
noad,100,0.0000226
noad,100,0.000024003
noad,100,0.000033503
noad,100,0.000024831
noad,100,0.000022615
noad,100,0.000024459
noad,100,0.00002438
noad,100,0.000024662
noad,100,0.000022798
noad,100,0.000024541
noad,100,0.000024235
noad,100,0.000024553
noad,200,0.000058366
noad,200,0.000046662
noad,200,0.000044876
noad,200,0.000046265
noad,200,0.000044478
noad,200,0.000046095
noad,200,0.000045341
noad,200,0.000047251
noad,200,0.000046003
noad,200,0.000045657
noad,200,0.000046689
noad,200,0.000045402
noad,200,0.000046655
noad,200,0.000045286
noad,200,0.000047008
noad,200,0.000045105
noad,200,0.000045781
noad,200,0.000044534
noad,200,0.000045674
noad,200,0.000054714
noad,300,0.000148874
noad,300,0.000247198
noad,300,0.000066995
noad,300,0.000066385
noad,300,0.000096133
noad,300,0.000107809
noad,300,0.000067477
noad,300,0.000067626
noad,300,0.000079644
noad,300,0.000129848
noad,300,0.000109253
noad,300,0.000109487
noad,300,0.000107453
noad,300,0.000119298
noad,300,0.000108672
noad,300,0.000107056
noad,300,0.000106692
noad,300,0.000108693
noad,300,0.000106699
noad,300,0.000106776
noad,400,0.000140428
noad,400,0.000130551
noad,400,0.000116436
noad,400,0.000188699
noad,400,0.000147253
noad,400,0.000105986
noad,400,0.000081234
noad,400,0.000100059
noad,400,0.000104628
noad,400,0.000103588
noad,400,0.000104265
noad,400,0.000102883
noad,400,0.000103762
noad,400,0.00011463
noad,400,0.000121489
noad,400,0.000104515
noad,400,0.00010242
noad,400,0.00010164
noad,400,0.000140512
noad,400,0.000101022
noad,500,0.000150991
noad,500,0.000127058
noad,500,0.000131741
noad,500,0.000126354
noad,500,0.000127492
noad,500,0.000128806
noad,500,0.000130716
noad,500,0.000127786
noad,500,0.000129232
noad,500,0.000128958
noad,500,0.000128333
noad,500,0.000129531
noad,500,0.000129763
noad,500,0.000128101
noad,500,0.000128309
noad,500,0.000129247
noad,500,0.000133085
noad,500,0.000128571
noad,500,0.000128867
noad,500,0.000128803
noad,600,0.000160461
noad,600,0.000151259
noad,600,0.000152293
noad,600,0.000157406
noad,600,0.000172755
noad,600,0.000126938
noad,600,0.000169281
noad,600,0.000143175
noad,600,0.000129206
noad,600,0.000129576
noad,600,0.000129709
noad,600,0.000130506
noad,600,0.00013005
noad,600,0.000130469
noad,600,0.000134468
noad,600,0.000130776
noad,600,0.000130211
noad,600,0.000131317
noad,600,0.000130332
noad,600,0.000131532
noad,700,0.000173034
noad,700,0.000149725
noad,700,0.00014959
noad,700,0.000148497
noad,700,0.000151265
noad,700,0.000148619
noad,700,0.000155296
noad,700,0.000148819
noad,700,0.000155774
noad,700,0.000152273
noad,700,0.000149602
noad,700,0.000149016
noad,700,0.000165828
noad,700,0.000137359
noad,700,0.00013632
noad,700,0.000136221
noad,700,0.000133464
noad,700,0.000138417
noad,700,0.000135934
noad,700,0.000133128
noad,800,0.000179211
noad,800,0.000152584
noad,800,0.000151268
noad,800,0.000152703
noad,800,0.000152717
noad,800,0.000159925
noad,800,0.000165618
noad,800,0.000156866
noad,800,0.000164499
noad,800,0.000150094
noad,800,0.000148402
noad,800,0.000149138
noad,800,0.000150882
noad,800,0.000150978
noad,800,0.000149416
noad,800,0.000192141
noad,800,0.000148276
noad,800,0.000147873
noad,800,0.000150906
noad,800,0.000148447
noad,900,0.001951634
noad,900,0.0001813
noad,900,0.000173726
noad,900,0.000174103
noad,900,0.000185536
noad,900,0.000181664
noad,900,0.0001844
noad,900,0.000176413
noad,900,0.000178408
noad,900,0.000178097
noad,900,0.000180343
noad,900,0.00017737
noad,900,0.000179475
noad,900,0.000181863
noad,900,0.00018052
noad,900,0.000177705
noad,900,0.000179071
noad,900,0.000183164
noad,900,0.000177534
noad,900,0.000176597
noad,1000,0.000204954
noad,1000,0.000195554
noad,1000,0.000201169
noad,1000,0.000184383
noad,1000,0.000186576
noad,1000,0.000186678
noad,1000,0.000191009
noad,1000,0.000190317
noad,1000,0.000184983
noad,1000,0.000187279
noad,1000,0.000188338
noad,1000,0.000183449
noad,1000,0.00018765
noad,1000,0.00018458
noad,1000,0.000188327
noad,1000,0.000184926
noad,1000,0.000185678
noad,1000,0.000187647
noad,1000,0.000188131
noad,1000,0.000186125
adPrimal,100,0.00234715
adPrimal,100,0.00121682
adPrimal,100,0.000840352
adPrimal,100,0.000952337
adPrimal,100,0.000841312
adPrimal,100,0.000822549
adPrimal,100,0.000812609
adPrimal,100,0.000816936
adPrimal,100,0.000845302
adPrimal,100,0.00083528
adPrimal,100,0.000808563
adPrimal,100,0.000801127
adPrimal,100,0.000973118
adPrimal,100,0.000814559
adPrimal,100,0.000818136
adPrimal,100,0.000835729
adPrimal,100,0.000825598
adPrimal,100,0.00084045
adPrimal,100,0.000810039
adPrimal,100,0.000795119
adPrimal,200,0.001662142
adPrimal,200,0.001674869
adPrimal,200,0.00173388
adPrimal,200,0.001574327
adPrimal,200,0.00153104
adPrimal,200,0.001616118
adPrimal,200,0.00253203
adPrimal,200,0.002488751
adPrimal,200,0.002130223
adPrimal,200,0.002328836
adPrimal,200,0.001992446
adPrimal,200,0.00173658
adPrimal,200,0.001766571
adPrimal,200,0.001530943
adPrimal,200,0.001533533
