condition,size,time
noad,100,0.00514507
noad,100,3.09944e-06
noad,100,2.86102e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,3.09944e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,2.86102e-06
noad,100,3.09944e-06
noad,100,1.90735e-06
noad,100,3.09944e-06
noad,100,2.86102e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,3.09944e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,3.09944e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,2.86102e-06
noad,100,2.14577e-06
noad,100,2.86102e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.86102e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,1.90735e-06
noad,100,2.14577e-06
noad,100,1.90735e-06
noad,100,3.09944e-06
noad,100,2.86102e-06
noad,100,3.09944e-06
noad,100,3.09944e-06
noad,200,0.00453806
noad,200,4.76837e-06
noad,200,5.00679e-06
noad,200,4.05312e-06
noad,200,4.05312e-06
noad,200,4.05312e-06
noad,200,4.05312e-06
noad,200,3.8147e-06
noad,200,3.8147e-06
noad,200,5.00679e-06
noad,200,5.00679e-06
noad,200,4.05312e-06
noad,200,5.00679e-06
noad,200,5.00679e-06
noad,200,4.76837e-06
noad,200,3.8147e-06
noad,200,3.8147e-06
noad,200,3.8147e-06
noad,200,3.8147e-06
noad,200,5.00679e-06
noad,200,5.00679e-06
noad,200,5.00679e-06
noad,200,1.3113e-05
noad,200,4.05312e-06
noad,200,4.05312e-06
noad,200,5.00679e-06
noad,200,1.40667e-05
noad,200,3.50475e-05
noad,200,7.15256e-06
noad,200,5.96046e-06
noad,200,5.00679e-06
noad,200,5.00679e-06
noad,200,3.8147e-06
noad,200,4.05312e-06
noad,200,1.78814e-05
