method,steps,time
empiricalMeans+global,518,2.422
empiricalMeans+global,3107,13.842
empiricalMeans+global,8796,39.605
empiricalMeans+global,280,1.248
empiricalMeans+global,458,2.103
empiricalMeans+global,127,.634
empiricalMeans+global,156,.790
empiricalMeans+global,1317,5.757
empiricalMeans+global,395,1.789
empiricalMeans+global,341,1.597
empiricalMeans+global,145,.703
empiricalMeans+global,493,2.209
empiricalMeans+global,912,3.949
empiricalMeans+global,1767,7.868
empiricalMeans+global,1940,8.448
empiricalMeans+global,254,1.184
empiricalMeans+global,3219,13.955
empiricalMeans+global,583,2.582
empiricalMeans+global,1219,5.331
empiricalMeans+global,176,.819
empiricalMeans+global,10000,42.942
empiricalMeans+componentwise,592,2.692
empiricalMeans+componentwise,1190,5.265
empiricalMeans+componentwise,492,2.267
empiricalMeans+componentwise,1053,4.815
empiricalMeans+componentwise,1089,4.909
empiricalMeans+componentwise,260,1.191
empiricalMeans+componentwise,732,3.276
empiricalMeans+componentwise,614,2.673
empiricalMeans+componentwise,1187,5.223
empiricalMeans+componentwise,874,3.817
empiricalMeans+componentwise,1294,5.669
empiricalMeans+componentwise,884,4.007
empiricalMeans+componentwise,105,.522
empiricalMeans+componentwise,952,4.606
empiricalMeans+componentwise,384,1.705
empiricalMeans+componentwise,5092,22.288
empiricalMeans+componentwise,810,3.810
empiricalMeans+componentwise,703,3.111
empiricalMeans+componentwise,582,2.629
empiricalMeans+componentwise,2643,11.464
empiricalMeans+componentwise,10000,47.642
empiricalMeans+componentwise,10000,44.650
empiricalMeans+componentwise,10000,45.705
bothZeroMean+global,594,2.618
bothZeroMean+global,1649,7.437
bothZeroMean+global,1678,7.615
bothZeroMean+global,588,2.788
bothZeroMean+global,1588,6.827
bothZeroMean+global,270,1.208
bothZeroMean+global,157,.715
bothZeroMean+global,489,2.214
bothZeroMean+global,179,.840
bothZeroMean+global,310,1.375
bothZeroMean+global,284,1.306
bothZeroMean+global,241,1.090
bothZeroMean+global,782,3.510
bothZeroMean+global,439,1.937
bothZeroMean+global,411,1.885
bothZeroMean+global,1320,5.885
bothZeroMean+global,3134,13.958
bothZeroMean+global,929,4.078
bothZeroMean+global,464,2.067
bothZeroMean+global,536,2.367
bothZeroMean+componentwise,951,4.264
bothZeroMean+componentwise,651,2.937
bothZeroMean+componentwise,10000,44.096
bothZeroMean+componentwise,10000,43.872
bothZeroMean+componentwise,5214,23.187
bothZeroMean+componentwise,123,.574
bothZeroMean+componentwise,472,2.109
bothZeroMean+componentwise,6861,30.533
bothZeroMean+componentwise,462,2.068
bothZeroMean+componentwise,2059,8.956
bothZeroMean+componentwise,453,2.057
bothZeroMean+componentwise,356,1.621
bothZeroMean+componentwise,1048,4.682
bothZeroMean+componentwise,797,3.489
bothZeroMean+componentwise,1128,4.887
bothZeroMean+componentwise,1513,6.662
bothZeroMean+componentwise,214,.983
bothZeroMean+componentwise,408,1.827
bothZeroMean+componentwise,177,.853
bothZeroMean+componentwise,10000,45.556
bothZeroMean+componentwise,614,2.710
bothZeroMean+componentwise,151,.725
bothZeroMean+componentwise,1599,7.441
varZeroMean+global,1144,4.892
varZeroMean+global,2678,11.653
varZeroMean+global,1390,6.093
varZeroMean+global,567,2.152
varZeroMean+global,683,2.939
varZeroMean+global,885,3.898
varZeroMean+global,612,2.729
varZeroMean+global,10000,44.099
varZeroMean+global,1286,5.876
varZeroMean+global,1516,6.623
varZeroMean+global,837,3.841
varZeroMean+global,994,4.270
varZeroMean+global,763,3.438
varZeroMean+global,7252,31.055
varZeroMean+global,1131,5.073
varZeroMean+global,863,3.738
varZeroMean+global,870,3.740
varZeroMean+global,813,3.712
varZeroMean+global,1484,6.585
varZeroMean+global,1124,5.002
varZeroMean+global,1781,7.949
varZeroMean+componentwise,1874,8.299
varZeroMean+componentwise,1441,6.401
varZeroMean+componentwise,1668,7.414
varZeroMean+componentwise,10000,43.980
varZeroMean+componentwise,1462,6.484
varZeroMean+componentwise,2187,9.660
varZeroMean+componentwise,1582,7.110
varZeroMean+componentwise,10000,43.328
varZeroMean+componentwise,887,4.035
varZeroMean+componentwise,2636,11.903
varZeroMean+componentwise,1818,8.287
varZeroMean+componentwise,4437,19.242
varZeroMean+componentwise,1694,7.478
varZeroMean+componentwise,1251,5.585
varZeroMean+componentwise,960,4.433
varZeroMean+componentwise,1194,5.300
varZeroMean+componentwise,1673,7.316
varZeroMean+componentwise,10000,45.230
varZeroMean+componentwise,949,4.174
varZeroMean+componentwise,1102,4.779
varZeroMean+componentwise,6185,27.108
varZeroMean+componentwise,2906,12.744
varZeroMean+componentwise,3477,15.586
