step,time,elbo,eubo
0,0.02056563401222229,-732152.6064660825,-11896.778227978928
1,0.35932058799266814,-495309.5073907944,-12809.455325939221
2,0.3681339430212974,-514352.3700990346,-12223.087329878914
3,0.37322845500707624,-264151.97497949784,-11868.515716520946
4,0.3800904819965363,-287382.46478035237,-12691.484129005936
5,0.38836161398887636,-269269.3592913205,-12801.792024866734
6,0.39214912700653076,-192335.14614820585,-12420.486317119336
7,0.39927934300899504,-200437.89427549148,-12662.822872122219
8,0.40618853497505186,-171410.0775682598,-12024.346100507579
9,0.41164106798171995,-146393.81118617332,-11970.78538268791
10,0.414446829020977,-133346.01663650284,-11996.937171687981
11,0.41948537397384644,-146384.31476481567,-12282.952227793307
12,0.42670853501558303,-144332.05140439747,-11752.882446397818
13,0.43284403198957444,-125396.00786560249,-12751.651602590568
14,0.43554629397392275,-118494.7268407958,-12351.997477205223
15,0.43985810297727584,-114543.36889836207,-12203.167803069351
16,0.4475657250285149,-110275.78448307175,-12373.43826785972
17,0.4502281879782677,-111193.03032638942,-11717.656281791578
18,0.4578642939925194,-110699.38055369207,-11927.97688022627
19,0.46284661000967026,-108217.23176253586,-12736.379524212914
20,0.46806235498189924,-98867.51125160896,-11908.011048922866
21,0.4716248149871826,-97154.04903765552,-11823.587460180863
22,0.4759605759978294,-94229.33130808247,-11865.47067201944
23,0.4819245210289955,-95590.00401313092,-12297.288880625427
24,0.4888418779969215,-98775.23179111,-11616.255308820539
25,0.4958522319793701,-86959.43673628586,-12642.1934339641
26,0.4985474160313606,-87253.1659918328,-12056.503884772868
27,0.5027905160188675,-84544.16004899854,-12316.784520768097
28,0.5083868910074234,-89018.82473977417,-12123.504917758602
29,0.513125990986824,-86691.94550656967,-12603.077924802923
30,0.5202501360177993,-89512.68533561252,-11660.433351128639
31,0.5243648359775543,-82859.9883623175,-12383.582326693617
32,0.5286849560141563,-87706.31269525217,-11960.023682390633
33,0.5376760929822921,-80757.57219450416,-11287.08336022068
34,0.5427382289767265,-81582.56621130997,-12325.90731861957
35,0.5453374360203743,-78909.69935041163,-12568.96450461154
36,0.5503766440153122,-77668.73235569634,-12984.602070006897
37,0.5546968110203743,-82748.66585316185,-11830.70139601313
38,0.5598675259947776,-79960.13182953416,-12803.736180204574
39,0.5664951040148735,-82177.58854086614,-11637.045420721559
40,0.5690850780010224,-78414.43914702506,-12018.807837310822
41,0.5766420860290528,-79865.15380490004,-11678.246260109348
42,0.5804791039824486,-75863.51898303576,-12009.389350061174
43,0.5880353130102157,-76850.18362513013,-12252.674033295685
44,0.5918226510286331,-75085.38678266568,-12499.99338053036
45,0.6005298410058022,-69768.93003331212,-12410.463214685784
46,0.6044385150074959,-68299.56403351793,-12200.870428767705
47,0.6113388249874115,-69200.54209958011,-11725.437580133666
48,0.6148769699931145,-64006.652202045756,-11311.69461041974
49,0.6217799550294876,-67928.12321349171,-12570.307999319513
50,0.6243468030095101,-62491.37717136055,-12412.712073587372
51,0.6319988300204277,-65865.89325923311,-11814.319541114122
52,0.6345474749803544,-64850.42422986517,-12307.900708306495
53,0.6397170320153236,-68187.61558917566,-12197.826772884848
54,0.6438935289978981,-63100.17423013078,-11476.882352611323
55,0.6480236679911614,-60878.392446704354,-12241.347868224944
56,0.6557545019984246,-61059.50315758376,-11896.199853048836
57,0.6607484189867974,-61278.21136421896,-12263.831800793803
58,0.6640409790277481,-56526.619248592455,-11766.916268611054
59,0.6681809329986572,-58652.61033982402,-12168.302606314048
60,0.6724830290079117,-57901.77590171716,-12129.654540510413
61,0.6804769759774209,-55505.71862501552,-11861.059060231726
62,0.6831304849982262,-57785.18994587797,-12455.264660174265
63,0.6873034039735794,-55097.56312829038,-11980.863571905154
64,0.6924569060206414,-56531.443024986096,-11717.982304641442
65,0.6966490790247917,-54898.5751285215,-11997.440973546773
66,0.7041754750013351,-55753.83916306898,-12307.512556629374
67,0.7067315300107002,-57398.671092636214,-12210.491410145538
68,0.7108034840226174,-54555.87898894338,-11647.741354591195
69,0.7159650610089302,-58973.82027739738,-12615.232014184441
70,0.7228483319878578,-54218.948952147475,-12083.46200746345
71,0.7286502550244331,-54623.11763664905,-12001.041533315261
72,0.7336265519857407,-49353.10532113169,-11979.584724104841
73,0.7395840499997139,-49372.87281169748,-11448.290143483759
74,0.744721774995327,-49628.45688024525,-11807.711362230464
75,0.7507318609952927,-48376.605768190995,-11936.939207456382
76,0.7578575329780579,-45318.420498124135,-12616.791740198123
77,0.7606285930275917,-45680.463553617476,-12437.22616622181
78,0.7647782840132713,-48738.27911238822,-12385.722707846457
79,0.7707900059819222,-45587.58114377699,-11920.035243906408
80,0.7750274810194969,-46382.26300526147,-11591.559779753026
81,0.7859773309826851,-46665.66004250574,-12195.584193093993
82,0.7889126160144806,-40174.967102742245,-11794.539765165735
83,0.7933647310137749,-42525.22200830704,-12102.853134351557
84,0.8006946750283241,-40780.696301300086,-12347.929744789411
85,0.8032447599768638,-42840.10849040381,-12046.008128432515
86,0.8109082149863243,-41210.794164562394,-11983.176260281398
87,0.8135651010274887,-40961.10854341766,-11866.829724597728
88,0.8190413669943809,-40300.85925171888,-12184.442074758219
89,0.8279993060231209,-42454.5646368556,-12411.041586165658
90,0.8304788770079613,-40727.16457583364,-12302.964909680384
91,0.8354504290223121,-40606.65015922973,-12990.445862783712
92,0.8424644880294799,-38946.76172496846,-12095.339256993628
93,0.8483699010014534,-39911.4455120938,-12415.359368030937
94,0.8509230269789696,-37076.83429114358,-12377.622329065849
95,0.8551270859837532,-37802.452467438176,-11884.779111190881
96,0.8657440850138665,-38930.51190581724,-12434.85227503565
97,0.873178326010704,-38796.97495034315,-11426.880778783301
98,0.8766506760120392,-37590.930115804746,-11751.680569836155
99,0.8849450320005416,-37493.71783371686,-11526.430591447786
100,0.8917411820292472,-38190.55690929935,-12673.925730014555
101,0.8952694230079651,-35398.72920237138,-11681.659934225636
102,0.9018853279948235,-34766.61681068331,-12390.720702031687
103,0.9083260200023651,-34978.500512798164,-11643.986529852506
104,0.9109203389883042,-37275.17790834678,-12435.43872307413
105,0.9149806650280953,-36683.04061401512,-11997.307258561063
106,0.9203579859733582,-34587.70327954143,-12921.199609121964
107,0.9246066290140152,-35022.6780740816,-11814.533828835984
108,0.9321154919862747,-36652.581991925814,-12036.350190926736
109,0.9347159669995307,-35778.46406261601,-11800.944012538062
110,0.9389190000295639,-34398.04331737974,-12246.412714720955
111,0.94629072701931,-36019.81520701202,-12114.209280713745
112,0.952104188978672,-33457.520424699585,-12720.010935454315
113,0.9596393780112267,-34065.6004116037,-12384.269229735432
114,0.9625473769903183,-35006.78573907588,-11928.529631992593
115,0.9668923109769821,-34534.31600301515,-12188.67204252529
116,0.9755806940197944,-34038.49643316058,-11371.036994223483
117,0.9781899999976158,-34650.67567179664,-11535.908601397583
118,0.9864051250219346,-33472.54133803668,-12247.74391669492
119,0.9931219990253448,-35672.66095273421,-11700.47748647923
120,0.996443502008915,-31884.347910627188,-12140.873861163229
121,1.0048937619924545,-33916.609928805854,-11932.104077525912
122,1.0075236020088196,-31016.531236340772,-12428.171195362786
123,1.0153638759851455,-32877.41313018309,-11578.523749470687
124,1.0180689600110053,-30318.312753744172,-12119.499420955884
125,1.0248859590291977,-31823.507763271955,-12179.828354263156
126,1.028615853011608,-30225.788354166794,-12043.210371188745
